country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
Guinea-Bissau,NA,80.93,NA,NA,NA,NA,NA,NA,61.08,NA,85.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.61,NA,NA,NA,NA,28.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,NA,NA,NA,NA,70.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,49.82,43.37,42.58,29.35,37.26,NA,42.74,NA,55.37,50.9,45.17,44.98,47.35,38.72,40.7,42.09,31.93,42.89,41.88,37.3,31.97,26.82,29.11,32.67,34.55,31.21,NA,NA,NA,63.09,NA,NA,NA,57.08
Hungary,NA,0.07,1.5,0.17,0.52,0.3,NA,0.1,NA,NA,0.37,NA,NA,NA,0.54,0.27,0.18,0.42,0.24,0.26,0.33,0.15,0.26,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41
IBRD only,57.1,49.59,42.96,37.83,28.33,NA,NA,64.4,NA,NA,61.35,NA,NA,NA,NA,55.13,NA,NA,NA,NA,NA,NA,34.17,30.6,24.61,NA,NA,NA,NA,63.46,69.08,NA,67.87,NA
IDA & IBRD total,60.39,54.81,48.43,43.76,35.15,NA,NA,66.34,NA,NA,64.2,NA,NA,NA,NA,58.92,NA,NA,NA,NA,NA,NA,40.26,37.25,32.05,NA,NA,NA,NA,65.55,69.91,NA,69.06,NA
IDA blend,67.26,70.69,61.45,57.46,46.8,NA,NA,72.37,NA,NA,71.42,NA,NA,NA,NA,68.09,NA,NA,NA,NA,NA,NA,50.9,48.94,45.82,NA,NA,NA,NA,69.22,71.7,NA,71.82,NA
IDA only,75.92,74.16,69.94,66.17,61.61,NA,NA,75.39,NA,NA,77.45,NA,NA,NA,NA,75.24,NA,NA,NA,NA,NA,NA,64.59,63.31,59.8,NA,NA,NA,NA,76.83,74.67,NA,75.58,NA
IDA total,72.45,72.8,66.63,62.8,55.94,NA,NA,74.15,NA,NA,75.01,NA,NA,NA,NA,72.4,NA,NA,NA,NA,NA,NA,59.32,57.79,54.46,NA,NA,NA,NA,73.72,73.44,NA,74.03,NA
